book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
7315573-fall-of-giants,https://www.goodreads.com/book/show/7315573-fall-of-giants,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.27,"298,919",2010,2101,fiction
31463,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd,Far From the Madding Crowd (Paperback),Thomas Hardy,3.94,"139,203",1874,2099,fiction
15815333-the-interestings,https://www.goodreads.com/book/show/15815333-the-interestings,The Interestings (Hardcover),Meg Wolitzer,3.58,"114,823",2013,2094,fiction
33151805-into-the-water,https://www.goodreads.com/book/show/33151805-into-the-water,Into the Water (Hardcover),Paula Hawkins,3.59,"326,711",2017,2093,fiction
40605285-the-sweetness-at-the-bottom-of-the-pie,https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,"161,660",2009,2091,fiction
55404546-malibu-rising,https://www.goodreads.com/book/show/55404546-malibu-rising,Malibu Rising (Hardcover),Taylor Jenkins Reid,4.11,"235,714",2021,2090,fiction
14569052-purple-hibiscus,https://www.goodreads.com/book/show/14569052-purple-hibiscus,Purple Hibiscus (Paperback),Chimamanda Ngozi Adichie,4.16,"91,475",2003,2084,fiction
22522805-the-buried-giant,https://www.goodreads.com/book/show/22522805-the-buried-giant,The Buried Giant (Hardcover),Kazuo Ishiguro,3.54,"85,268",2015,2079,fiction
24770,https://www.goodreads.com/book/show/24770.Uglies,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"607,517",2005,2077,fiction
18839,https://www.goodreads.com/book/show/18839.Orlando,Orlando (Paperback),Virginia Woolf,3.86,"71,785",1928,2076,fiction
50202953-piranesi,https://www.goodreads.com/book/show/50202953-piranesi,Piranesi (Hardcover),Susanna Clarke,4.28,"93,467",2020,2075,fiction
24192,https://www.goodreads.com/book/show/24192.The_Runaway_Jury,The Runaway Jury (Paperback),John Grisham,3.99,"294,095",1996,2067,fiction
77566,https://www.goodreads.com/book/show/77566.Hyperion,Hyperion (Mass Market Paperback),Dan Simmons,4.23,"211,870",1989,2065,fiction
