book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
209194,https://www.goodreads.com/book/show/209194.The_Man_in_the_Brown_Suit,The Man in the Brown Suit (Colonel Race #1),Agatha Christie,3.93,"96,365",1924,376,crime
12875355-death-comes-to-pemberley,https://www.goodreads.com/book/show/12875355-death-comes-to-pemberley,Death Comes to Pemberley (Hardcover),P.D. James,3.33,"100,389",2011,375,crime
21936809-the-kind-worth-killing,https://www.goodreads.com/book/show/21936809-the-kind-worth-killing,The Kind Worth Killing (Hardcover),Peter  Swanson,4.03,"111,455",2015,374,crime
433035,https://www.goodreads.com/book/show/433035.Sad_Cypress,"Sad Cypress (Hercule Poirot, #22)",Agatha Christie,3.91,"30,445",1939,373,crime
27834600-in-a-dark-dark-wood,https://www.goodreads.com/book/show/27834600-in-a-dark-dark-wood,"In a Dark, Dark Wood (Paperback)",Ruth Ware,3.71,"269,535",2015,373,crime
23437156-six-of-crows,https://www.goodreads.com/book/show/23437156-six-of-crows,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,"566,072",2015,371,crime
76867,https://www.goodreads.com/book/show/76867.A_Darkness_More_Than_Night,"A Darkness More Than Night (Harry Bosch, #7; Terry McCaleb, #2; Harry Bosch Universe, #9)",Michael Connelly,4.13,"52,045",2000,371,crime
128752,https://www.goodreads.com/book/show/128752.Bare_Bones,"Bare Bones (Temperance Brennan, #6)",Kathy Reichs,3.97,"38,078",2003,371,crime
281350,https://www.goodreads.com/book/show/281350.Grave_Secrets,"Grave Secrets (Temperance Brennan, #5)",Kathy Reichs,3.98,"33,307",2002,369,crime
206236,https://www.goodreads.com/book/show/206236.The_Power_of_the_Dog,The Power of the Dog (Power of the Dog #1),Don Winslow,4.35,"34,745",2005,367,crime
16300,https://www.goodreads.com/book/show/16300.Sleeping_Murder,"Sleeping Murder (Miss Marple, #12)",Agatha Christie,3.96,"38,368",1976,366,crime
138685,https://www.goodreads.com/book/show/138685.Dissolution,"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,4.01,"55,243",2003,366,crime
16312,https://www.goodreads.com/book/show/16312.One_Two_Buckle_My_Shoe,"One, Two, Buckle My Shoe (Hercule Poirot, #23)",Agatha Christie,3.79,"29,664",1940,365,crime
