,book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre,num_likes,rating_num_like,weighted_review_score
111,6969,https://www.goodreads.com/book/show/6969.Emma,Emma (Paperback),Jane Austen,4.02,"728,484",1815,6656,fiction,9222,37543.0,4.071025807850791
112,6149,https://www.goodreads.com/book/show/6149.Beloved,Beloved (Paperback),Toni Morrison,3.9,"360,183",1987,6634,fiction,5489,22304.0,4.063399526325378
113,18135,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.75,"2,233,920",1597,6561,fiction,8459,26551.0,3.1387870906726563
114,39832183-the-guernsey-literary-and-potato-peel-pie-society,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,The Guernsey Literary and Potato Peel Pie Society (Paperback),Mary Ann Shaffer,4.17,"671,639",2008,6492,fiction,8570,32869.0,3.8353558926487747
115,6411961-the-lost-symbol,https://www.goodreads.com/book/show/6411961-the-lost-symbol,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.73,"566,773",2009,6471,fiction,6687,20890.0,3.123971885748467
116,24583,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer (Paperback),Mark Twain,3.92,"823,449",1876,6464,fiction,3974,15510.0,3.902868646200302
117,9717,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being (Paperback),Milan Kundera,4.1,"381,052",1984,6450,fiction,8772,33618.0,3.832421340629275
118,41057294-normal-people,https://www.goodreads.com/book/show/41057294-normal-people,Normal People (Hardcover),Sally Rooney,3.85,"654,542",2018,6426,fiction,27344,69183.0,2.530098010532475
119,9712,https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera (Paperback),Gabriel García Márquez,3.92,"448,573",1985,6395,fiction,8388,25459.0,3.035169289461135
120,5326,https://www.goodreads.com/book/show/5326.A_Christmas_Carol,A Christmas Carol (Paperback),Charles Dickens,4.06,"672,266",1843,6391,fiction,10064,44809.0,4.452404610492846
121,11588,https://www.goodreads.com/book/show/11588.The_Shining,The Shining (Paperback),Stephen King,4.24,"1,251,521",1977,6390,fiction,13815,62983.0,4.559030039811799
122,4934,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov (Paperback),Fyodor Dostoevsky,4.32,"272,013",1879,6389,fiction,9262,42704.0,4.610667242496221
123,13526165-where-d-you-go-bernadette,https://www.goodreads.com/book/show/13526165-where-d-you-go-bernadette,"Where'd You Go, Bernadette (Hardcover)",Maria Semple,3.88,"521,195",2012,6387,fiction,8717,32127.0,3.685556957668923
124,32075671-the-hate-u-give,https://www.goodreads.com/book/show/32075671-the-hate-u-give,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.5,"655,813",2017,6381,fiction,19693,94410.0,4.794089270299091
125,17347634-me-before-you,https://www.goodreads.com/book/show/17347634-me-before-you,"Me Before You (Me Before You, #1)",Jojo Moyes,4.25,"1,315,104",2012,6371,fiction,23604,92084.0,3.9012031859006946
126,135479,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Cat's Cradle (Paperback),Kurt Vonnegut Jr.,4.16,"359,495",1963,6354,fiction,6513,27266.0,4.1863964378934435
127,17899948-rebecca,https://www.goodreads.com/book/show/17899948-rebecca,Rebecca (ebook),Daphne du Maurier,4.23,"525,617",1938,6303,fiction,20290,89128.0,4.392705766387383
128,15796700-americanah,https://www.goodreads.com/book/show/15796700-americanah,Americanah (Hardcover),Chimamanda Ngozi Adichie,4.3,"314,027",2013,6282,fiction,10890,41725.0,3.8314967860422406
129,7763,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club,The Joy Luck Club (Paperback),Amy Tan,3.94,"629,091",1989,6280,fiction,2316,8943.0,3.86139896373057
130,11297,https://www.goodreads.com/book/show/11297.Norwegian_Wood,Norwegian Wood (Paperback),Haruki Murakami,4.03,"426,138",1987,6225,fiction,10271,34253.0,3.3349235712199397
131,4929,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Kafka on the Shore (Paperback),Haruki Murakami,4.13,"361,369",2002,6211,fiction,9781,33134.0,3.38758818116757
132,119322,https://www.goodreads.com/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.0,"1,384,669",1995,6200,fiction,6644,24923.0,3.7512040939193256
133,10917,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,My Sister's Keeper (Paperback),Jodi Picoult,4.08,"1,114,798",2004,6181,fiction,4273,12399.0,2.901708401591388
